,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
125,South Perth - Kensington,16697,16576,9422,9510,-121,88,7275,7066,-209,0.435707013,0.426278958,-0.028728522
126,Banjup,13948,17533,9079,10675,3585,1596,4869,6858,1989,0.349082306,0.391148121,0.408502773
129,Coogee,7535,8768,4955,5680,1233,725,2580,3088,508,0.342402123,0.352189781,0.196899225
130,Coolbellup,7612,8147,5051,5137,535,86,2561,3010,449,0.336442459,0.369461151,0.17532214
131,Hamilton Hill,9682,10387,5645,5824,705,179,4037,4563,526,0.416959306,0.439299124,0.130294773
133,North Coogee,594,2388,339,1359,1794,1020,255,1029,774,0.429292929,0.430904523,3.035294118
134,South Lake - Cockburn Central,10885,11468,7010,6825,583,-185,3875,4643,768,0.355994488,0.404865713,0.198193548
135,Spearwood,9009,10107,5263,5618,1098,355,3746,4489,743,0.415806416,0.44414762,0.198344901
136,Success - Hammond Park,10760,14904,6311,8018,4144,1707,4449,6886,2437,0.413475836,0.462023618,0.547763542
137,Yangebup,6999,7479,4750,4830,480,80,2249,2649,400,0.321331619,0.354191737,0.177856825
138,East Fremantle,6929,7376,4748,5122,447,374,2181,2254,73,0.314764035,0.305585683,0.033470885
139,Fremantle,14476,14846,8390,8607,370,217,6086,6239,153,0.420420006,0.420247878,0.025139665
140,Fremantle - South,13411,14372,8580,8993,961,413,4831,5379,548,0.36022668,0.374269413,0.113434072
142,Bertram - Wellard (West),7623,14016,4793,7309,6393,2516,2830,6707,3877,0.371244917,0.478524543,1.369964664
143,Calista,7287,7667,4425,4663,380,238,2862,3004,142,0.39275422,0.391809052,0.049615653
146,Parmelia - Orelia,10710,10959,6870,6561,249,-309,3840,4398,558,0.358543417,0.401313989,0.1453125
147,Applecross - Ardross,10476,11034,5929,6304,558,375,4547,4730,183,0.43403971,0.428675005,0.040246316
148,Bateman,3701,3717,2113,2048,16,-65,1588,1669,81,0.429073223,0.449018025,0.051007557
149,Bicton - Palmyra,12638,13680,8671,9360,1042,689,3967,4320,353,0.313894604,0.315789474,0.088984119
150,Booragoon,13809,14454,7945,8388,645,443,5864,6066,202,0.42465059,0.419676214,0.034447476
151,Bull Creek,7483,7746,4060,4075,263,15,3423,3671,248,0.457436857,0.473922024,0.072451066
152,Leeming,10932,10730,6819,6470,-202,-349,4113,4260,147,0.376234907,0.397017707,0.035740336
153,Melville,15243,16278,10606,11406,1035,800,4637,4872,235,0.304205209,0.299299668,0.050679319
154,Murdoch - Kardinya,12506,12257,6989,6770,-249,-219,5517,5487,-30,0.441148249,0.44766256,-0.005437738
155,Willagee,4711,4872,3247,3269,161,22,1464,1603,139,0.310762046,0.329022989,0.094945355
156,Winthrop,6176,5907,3081,3003,-269,-78,3095,2904,-191,0.50113342,0.491620112,-0.061712439
157,Baldivis,16115,33028,10385,19608,16913,9223,5730,13420,7690,0.355569345,0.406321909,1.342059337
158,Cooloongup,8492,8591,5605,5376,99,-229,2887,3215,328,0.339967028,0.374228844,0.113612747
159,Port Kennedy,13827,13777,8794,8627,-50,-167,5033,5150,117,0.363997975,0.373811425,0.023246573
160,Rockingham,14995,15435,8490,8315,440,-175,6505,7120,615,0.43381127,0.461289278,0.094542659
162,Safety Bay - Shoalwater,10911,11508,6945,7278,597,333,3966,4230,264,0.36348639,0.367570386,0.066565809
163,Singleton - Golden Bay - Secret Harbour,15141,19607,9487,12078,4466,2591,5654,7529,1875,0.373423156,0.383995512,0.331623629
164,Waikiki,11654,12454,7408,7719,800,311,4246,4735,489,0.364338425,0.380199133,0.115167216
165,Warnbro,10734,10701,7074,6780,-33,-294,3660,3921,261,0.34097261,0.366414354,0.071311475
