,SA2 Name,Unoccupied Rate,Median Income,Median Rent,Median Mortgage,Purchasing Affordability Index,Rental Affordability Index,Building Approval,Unemplotment Rate
128,Parmelia - Orelia,0.10035617,1373.125,294.4047619,348.4483188,118.2205446,139.9221593,94,0.128021303
19,Perth City,0.168808199,2388.242894,429.4761273,495.6187934,144.5612793,166.8248414,703,0.080855998
8,Pinjarra,0.09936985,1475.806452,303.3602151,429.2054795,103.1538405,145.9459459,86,0.093874502
142,Port Kennedy,0.081457225,1942.401961,373.286802,434.0932512,134.2385735,156.1053284,13,0.105934718
95,Riverton - Shelley - Rossmoyne,0.096992481,2123.72449,408.6879433,503.3696885,126.5704633,155.8933552,70,0.087751371
89,Rivervale - Kewdale - Cloverdale,0.111989903,1748.525074,362.3235887,456.240644,114.9738694,144.7759788,474,0.092207893
143,Rockingham,0.160805269,1469.791667,305.3135889,394.7152127,111.7102878,144.421184,31,0.106438515
85,Roleystone,0.063814091,2149.038462,366.6666667,489.0410959,131.8317712,175.8304196,25,0.064312072
144,Safety Bay - Shoalwater,0.165830884,1669.254658,314.1061453,425.8517738,117.5940617,159.4290354,30,0.102949682
61,Scarborough,0.145480563,2414.078675,413.8605442,501.585448,144.3868847,174.9921834,155,0.059557513
109,Serpentine - Jarrahdale,0.08042394,1860.655738,314.1666667,483.2876712,115.4998885,177.675349,26,0.077503775
86,Seville Grove,0.070726379,1679.577465,351.6472868,413.5819198,121.8315442,143.2893864,103,0.091317951
145,Singleton - Golden Bay - Secret Harbour,0.117947264,2219.62963,391.1585366,491.6956892,135.4270341,170.2350394,222,0.087338804
53,Sorrento - Marmion,0.090106466,2725.840336,512.9213483,575.7850369,142.0238541,159.430311,42,0.057959508
118,South Lake - Cockburn Central,0.104105284,1893.518519,381.4130435,419.3988959,135.4451719,148.9344859,89,0.087065456
112,South Perth - Kensington,0.153040819,2757.886435,398.1854839,569.159681,145.3662229,207.7840514,208,0.063992042
119,Spearwood,0.117647059,1653.409091,359.414557,463.5213043,107.0118509,138.0085246,203,0.078663134
62,Stirling - Osborne Park,0.103291714,2153.645833,335.2272727,488.6087576,132.2313078,192.7330508,315,0.071062656
39,Stratton - Jane Brook,0.066005341,1869.230769,363.6904762,422.0547945,132.866452,154.1885937,23,0.078804348
20,Subiaco - Shenton Park,0.13368669,2849.693252,433.3333333,618.0224159,138.3296064,197.2864559,230,0.057942633
120,Success - Hammond Park,0.077956989,2253.75,423.5294118,505.4861707,133.7573685,159.640625,184,0.071506221
30,Swan View - Greenmount - Midvale,0.094346757,1659.375,330.4104478,411.008467,121.1197676,150.6648786,46,0.09460371
