,SA2 Name,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Total,Median
37,Middle Swan - Herne Hill,3.0,0.0,16.0,13.0,23.0,7.0,17.0,10.0,23.0,9.0,47.0,35.0,86.0,46.0,51.0,16.0,34.0,9.0,0.0,0.0,3.0,0.0,448.0,356.25
38,Midland - Guildford,24.0,23.0,83.0,39.0,63.0,33.0,73.0,26.0,82.0,123.0,286.0,172.0,363.0,157.0,101.0,21.0,47.0,22.0,11.0,0.0,0.0,7.0,1756.0,328.4156976744186
39,Stratton - Jane Brook,3.0,5.0,18.0,17.0,23.0,10.0,19.0,0.0,16.0,13.0,32.0,27.0,84.0,55.0,59.0,18.0,52.0,6.0,0.0,0.0,0.0,0.0,457.0,363.6904761904762
40,The Vines,7.0,0.0,4.0,0.0,12.0,0.0,11.0,3.0,9.0,3.0,28.0,15.0,41.0,31.0,51.0,16.0,60.0,43.0,24.0,5.0,3.0,10.0,376.0,412.0098039215686
41,Craigie - Beldon,3.0,8.0,13.0,7.0,25.0,16.0,20.0,6.0,23.0,9.0,66.0,43.0,139.0,116.0,138.0,48.0,121.0,4.0,0.0,3.0,0.0,4.0,812.0,381.14224137931035
42,Currambine - Kinross,5.0,5.0,12.0,8.0,11.0,4.0,13.0,5.0,11.0,11.0,24.0,23.0,116.0,78.0,184.0,81.0,278.0,64.0,16.0,5.0,0.0,3.0,957.0,420.7880434782609
43,Duncraig,0.0,4.0,14.0,9.0,6.0,3.0,11.0,8.0,7.0,3.0,21.0,3.0,36.0,26.0,64.0,36.0,198.0,74.0,43.0,12.0,5.0,3.0,586.0,471.4646464646465
44,Greenwood - Warwick,3.0,0.0,10.0,12.0,25.0,8.0,14.0,12.0,15.0,8.0,42.0,29.0,76.0,67.0,146.0,47.0,205.0,38.0,4.0,0.0,0.0,0.0,761.0,410.2739726027397
45,Heathridge - Connolly,3.0,8.0,8.0,8.0,17.0,10.0,19.0,4.0,19.0,8.0,45.0,37.0,104.0,97.0,145.0,42.0,123.0,28.0,10.0,0.0,0.0,0.0,735.0,395.10309278350513
46,Hillarys,3.0,4.0,4.0,5.0,0.0,4.0,4.0,3.0,3.0,4.0,16.0,7.0,31.0,16.0,68.0,15.0,128.0,93.0,50.0,41.0,19.0,20.0,538.0,514.453125
47,Iluka - Burns Beach,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,26.0,58.0,60.0,29.0,12.0,12.0,217.0,658.3333333333334
48,Joondalup - Edgewater,9.0,16.0,43.0,26.0,28.0,42.0,36.0,16.0,27.0,28.0,108.0,66.0,199.0,185.0,257.0,98.0,294.0,73.0,10.0,6.0,4.0,10.0,1581.0,394.86486486486484
49,Kingsley,5.0,4.0,10.0,4.0,18.0,5.0,11.0,8.0,5.0,3.0,18.0,8.0,45.0,37.0,75.0,31.0,178.0,53.0,5.0,3.0,0.0,3.0,529.0,432.258064516129
50,Mullaloo - Kallaroo,3.0,3.0,3.0,0.0,5.0,3.0,6.0,3.0,6.0,10.0,26.0,9.0,37.0,32.0,74.0,34.0,139.0,63.0,54.0,24.0,5.0,8.0,547.0,464.3884892086331
51,Ocean Reef,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,11.0,9.0,32.0,10.0,99.0,82.0,39.0,15.0,10.0,0.0,325.0,533.8383838383838
52,Padbury,4.0,0.0,5.0,6.0,7.0,4.0,11.0,6.0,9.0,4.0,34.0,19.0,73.0,74.0,109.0,55.0,117.0,15.0,6.0,0.0,0.0,0.0,558.0,405.38990825688074
53,Sorrento - Marmion,4.0,0.0,7.0,4.0,4.0,12.0,13.0,4.0,20.0,11.0,22.0,4.0,16.0,12.0,23.0,8.0,89.0,51.0,60.0,39.0,18.0,18.0,439.0,512.9213483146067
54,Woodvale,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,4.0,3.0,11.0,3.0,14.0,11.0,24.0,18.0,127.0,79.0,9.0,3.0,0.0,0.0,315.0,498.0314960629921
55,Balcatta - Hamersley,18.0,22.0,100.0,32.0,33.0,31.0,38.0,20.0,45.0,33.0,137.0,103.0,243.0,155.0,242.0,71.0,231.0,28.0,9.0,0.0,0.0,3.0,1594.0,369.0843621399177
56,Balga - Mirrabooka,41.0,46.0,204.0,82.0,115.0,56.0,86.0,40.0,80.0,98.0,361.0,259.0,543.0,270.0,265.0,35.0,75.0,9.0,8.0,0.0,3.0,5.0,2681.0,337.74131274131275
57,Dianella,28.0,31.0,118.0,38.0,63.0,36.0,61.0,15.0,75.0,80.0,241.0,147.0,259.0,168.0,244.0,57.0,276.0,94.0,41.0,10.0,8.0,4.0,2094.0,361.05212355212353
