,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
45,Duncraig,27.0,31.0,56.0,27.0,70.0,92.0,99.0,114.0,101.0,119.0,106.0,226.0,100.0,115.0,242.0,442.0,121.0,58.0,2146.0,2211.0
46,Greenwood - Warwick,19.0,33.0,44.0,40.0,56.0,80.0,106.0,145.0,136.0,161.0,118.0,257.0,125.0,96.0,274.0,268.0,42.0,38.0,2038.0,2063.4241245136186
47,Heathridge - Connolly,16.0,13.0,48.0,28.0,65.0,90.0,93.0,128.0,111.0,144.0,94.0,234.0,103.0,88.0,200.0,189.0,49.0,23.0,1716.0,2024.3589743589744
48,Hillarys,16.0,19.0,39.0,22.0,51.0,50.0,74.0,60.0,51.0,62.0,58.0,130.0,67.0,69.0,115.0,294.0,133.0,107.0,1417.0,2428.985507246377
49,Iluka - Burns Beach,8.0,14.0,14.0,24.0,19.0,31.0,49.0,51.0,64.0,62.0,49.0,154.0,63.0,89.0,150.0,417.0,206.0,121.0,1585.0,2872.0
50,Joondalup - Edgewater,21.0,17.0,55.0,27.0,61.0,90.0,129.0,122.0,122.0,168.0,109.0,216.0,103.0,97.0,190.0,220.0,46.0,31.0,1824.0,1984.4036697247707
51,Kingsley,20.0,22.0,51.0,46.0,78.0,94.0,115.0,115.0,120.0,141.0,119.0,229.0,93.0,119.0,228.0,260.0,43.0,33.0,1926.0,2037.117903930131
52,Mullaloo - Kallaroo,20.0,18.0,30.0,22.0,51.0,51.0,90.0,88.0,78.0,84.0,79.0,157.0,78.0,78.0,142.0,294.0,121.0,81.0,1562.0,2234.6153846153848
53,Ocean Reef,9.0,10.0,23.0,15.0,33.0,38.0,50.0,61.0,49.0,59.0,42.0,118.0,39.0,48.0,117.0,221.0,97.0,50.0,1079.0,2369.230769230769
54,Padbury,18.0,21.0,33.0,33.0,55.0,51.0,76.0,88.0,93.0,87.0,88.0,158.0,86.0,85.0,172.0,159.0,33.0,17.0,1353.0,2043.0379746835442
