,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
55,Iluka - Burns Beach,6076.0,8644.0,2734.0,3882.0,2568.0,1148.0,3342.0,4762.0,1420.0,0.5500329163923634,0.5509023600185099,0.4248952722920407
56,Joondalup - Edgewater,13873.0,13602.0,6719.0,6570.0,-271.0,-149.0,7154.0,7032.0,-122.0,0.5156779355582787,0.5169827966475519,-0.01705339670114625
57,Kingsley,12993.0,13059.0,8489.0,8391.0,66.0,-98.0,4504.0,4668.0,164.0,0.3466481951820211,0.3574546289915001,0.03641207815275305
58,Mullaloo - Kallaroo,10783.0,11166.0,5890.0,6262.0,383.0,372.0,4893.0,4904.0,11.0,0.4537698228693314,0.43919039942683147,0.0022481095442468124
59,Ocean Reef,7954.0,7840.0,3806.0,3993.0,-114.0,187.0,4148.0,3847.0,-301.0,0.5214986170480261,0.49068877551020407,-0.07256509161041469
60,Padbury,8232.0,8183.0,5245.0,5139.0,-49.0,-106.0,2987.0,3044.0,57.0,0.3628522837706511,0.37199071245264576,0.019082691663876883
61,Sorrento - Marmion,9375.0,9625.0,6254.0,6464.0,250.0,210.0,3121.0,3161.0,40.0,0.3329066666666667,0.32841558441558444,0.012816404998397868
62,Woodvale,9046.0,9276.0,5566.0,5510.0,230.0,-56.0,3480.0,3766.0,286.0,0.38470042007517136,0.4059939629150496,0.08218390804597697
63,Balcatta - Hamersley,14780.0,15364.0,8942.0,8924.0,584.0,-18.0,5838.0,6440.0,602.0,0.3949932341001353,0.41916167664670656,0.10311750599520386
64,Balga - Mirrabooka,17911.0,20050.0,8357.0,8445.0,2139.0,88.0,9554.0,11605.0,2051.0,0.5334152196973927,0.5788029925187033,0.21467448189240113
65,Dianella,22827.0,24130.0,12708.0,12978.0,1303.0,270.0,10119.0,11152.0,1033.0,0.44329083979497963,0.46216328222130126,0.10208518628322949
67,Innaloo - Doubleview,15021.0,16559.0,9483.0,9892.0,1538.0,409.0,5538.0,6667.0,1129.0,0.36868384262033155,0.4026209312156531,0.20386421090646434
68,Karrinyup - Gwelup - Carine,18753.0,20304.0,12653.0,13736.0,1551.0,1083.0,6100.0,6568.0,468.0,0.325281288327201,0.32348305752561074,0.07672131147540973
